number	mktype	m425	eff_wavelength_m425	m475	eff_wavelength_m475	m525	eff_wavelength_m525	m575	eff_wavelength_m575	m625	eff_wavelength_m625	m675	eff_wavelength_m675	m725	eff_wavelength_m725	m775	eff_wavelength_m775	m825	eff_wavelength_m825	m875	eff_wavelength_m875	m925	eff_wavelength_m925	m975	eff_wavelength_m975	m1025	eff_wavelength_m1025	B	eff_wavelength_B	V	eff_wavelength_V	g	eff_wavelength_g	r	eff_wavelength_r	i	eff_wavelength_i	n6780	eff_wavelength_n6780	n6830	eff_wavelength_n6830
21	B9V	-28.48284748074141	4257.7433205540165	-28.560973379589605	4755.646409923665	-28.592312959101616	5255.022260503111	-28.617781214198153	5748.635732582142	-28.666916640950767	6249.486110949354	-28.639949795894776	6759.434908824179	-28.666343751158298	7259.556406302323	-28.675654019567716	7752.821747940547	-28.694590800416773	8251.095420142767	-28.762674967514734	8762.201215194538	-28.734815422767994	9266.405410354084	-28.79374344194792	9758.19622894132	-28.77243498693606	10263.121445458055	-28.468619114148304	4442.247987847948	-28.60620294990673	5536.148092775338	-28.531290722074296	4726.112380694397	-28.63925076577134	6197.686507530391	-28.672605542914674	7523.852129426542	-28.658255838353476	6783.502010948252	-28.67532945828451	6832.973429309854
22	A7V	-28.39504709520896	4257.7433205540165	-28.53596481816444	4755.646409923665	-28.596033484054914	5255.022260503111	-28.615682631171925	5748.635732582142	-28.667444608879226	6249.486110949354	-28.65390379297726	6759.434908824179	-28.67772362670972	7259.556406302323	-28.69316027524301	7752.821747940547	-28.638051157898666	8251.095420142767	-28.756294475389105	8762.201215194538	-28.723269178261898	9266.405410354084	-28.770580806707848	9758.19622894132	-28.77738765649765	10263.121445458055	-28.398495477856788	4442.247987847948	-28.606062848385264	5536.148092775338	-28.492805292987548	4726.112380694397	-28.641849040774176	6197.686507530391	-28.682649570582512	7523.852129426542	-28.684835826624294	6783.502010948252	-28.68787062142716	6832.973429309854
23	A2V	-28.37798914573603	4257.7433205540165	-28.508638660214416	4755.646409923665	-28.57655595406316	5255.022260503111	-28.64535736950276	5748.635732582142	-28.66736922871333	6249.486110949354	-28.692276258714976	6759.434908824179	-28.7363578894675	7259.556406302323	-28.75197454418037	7752.821747940547	-28.797225371742805	8251.095420142767	-28.86830433635403	8762.201215194538	-28.93648636281425	9266.405410354084	-28.96415762689064	9758.19622894132	-28.952565373479942	10263.121445458055	-28.382686548462708	4442.247987847948	-28.607838118182855	5536.148092775338	-28.467457012967404	4726.112380694397	-28.65628259094455	6197.686507530391	-28.749209363947557	7523.852129426542	-28.729410001069652	6783.502010948252	-28.745488862921743	6832.973429309854
24	A5V	-28.345574067696884	4257.7433205540165	-28.523653058792963	4755.646409923665	-28.57933349101159	5255.022260503111	-28.64435921045579	5748.635732582142	-28.66885298701189	6249.486110949354	-28.72506135842317	6759.434908824179	-28.749680965967876	7259.556406302323	-28.74944328814431	7752.821747940547	-28.771716456762995	8251.095420142767	-28.84381713078579	8762.201215194538	-28.86816683202918	9266.405410354084	-28.895175706172374	9758.19622894132	-28.908912199574097	10263.121445458055	-28.363419972561978	4442.247987847948	-28.607600875662158	5536.148092775338	-28.464492494322172	4726.112380694397	-28.66470270641306	6197.686507530391	-28.75398617569012	7523.852129426542	-28.77277041793451	6783.502010948252	-28.769396903450538	6832.973429309854
25		-28.34004414810549	4257.7433205540165	-28.494614410866816	4755.646409923665	-28.555439524771096	5255.022260503111	-28.677306813065936	5748.635732582142	-28.729520899422717	6249.486110949354	-28.72510863359544	6759.434908824179	-28.776458480199647	7259.556406302323	-28.767375906700646	7752.821747940547	-28.806359932185117	8251.095420142767	-28.870527414495122	8762.201215194538	-29.024397373180356	9266.405410354084	-28.98036194356669	9758.19622894132	-28.94399351956842	10263.121445458055	-28.349093786421715	4442.247987847948	-28.610308197709273	5536.148092775338	-28.444511660851816	4726.112380694397	-28.709218732777394	6197.686507530391	-28.77491057407182	7523.852129426542	-28.737152939710725	6783.502010948252	-28.75843924828521	6832.973429309854
26		-28.32346006820658	4257.7433205540165	-28.490579715594954	4755.646409923665	-28.558013855346758	5255.022260503111	-28.666275991098562	5748.635732582142	-28.733248460092575	6249.486110949354	-28.745655113886404	6759.434908824179	-28.806043326804918	7259.556406302323	-28.818088869501757	7752.821747940547	-28.858946039118656	8251.095420142767	-28.899621920911507	8762.201215194538	-28.99078366302296	9266.405410354084	-29.02107851559761	9758.19622894132	-29.02462006913676	10263.121445458055	-28.333243649892175	4442.247987847948	-28.609940909189216	5536.148092775338	-28.435366928889273	4726.112380694397	-28.707700025385495	6197.686507530391	-28.81421370030744	7523.852129426542	-28.778077556129887	6783.502010948252	-28.789564522948456	6832.973429309854
27		-28.262834858049235	4257.7433205540165	-28.466719192989608	4755.646409923665	-28.55905690840035	5255.022260503111	-28.66846246086162	5748.635732582142	-28.719532098869173	6249.486110949354	-28.756508794176852	6759.434908824179	-28.82868311667874	7259.556406302323	-28.844690772832827	7752.821747940547	-28.905262808250804	8251.095420142767	-28.92829096189169	8762.201215194538	-29.015118730915013	9266.405410354084	-29.045838022581123	9758.19622894132	-29.049238569120796	10263.121445458055	-28.289693535271585	4442.247987847948	-28.609520349605138	5536.148092775338	-28.407001304170603	4726.112380694397	-28.705916908527705	6197.686507530391	-28.840570776382968	7523.852129426542	-28.777224229949464	6783.502010948252	-28.79666479214776	6832.973429309854
28	A5V	-28.246062941941155	4257.7433205540165	-28.462256072817066	4755.646409923665	-28.560201409579097	5255.022260503111	-28.659392229704096	5748.635732582142	-28.735904144376487	6249.486110949354	-28.785931246593798	6759.434908824179	-28.851081517709062	7259.556406302323	-28.863587458084993	7752.821747940547	-28.932229841981098	8251.095420142767	-28.991806913917934	8762.201215194538	-29.010313198124493	9266.405410354084	-29.06196022448823	9758.19622894132	-29.06475299489065	10263.121445458055	-28.277895244508194	4442.247987847948	-28.609665628683132	5536.148092775338	-28.39855589301986	4726.112380694397	-28.71376650475589	6197.686507530391	-28.859633085596016	7523.852129426542	-28.814113423209456	6783.502010948252	-28.83368969268176	6832.973429309854
29		-28.19481284940011	4257.7433205540165	-28.437275208902765	4755.646409923665	-28.55000866067887	5255.022260503111	-28.674064370546972	5748.635732582142	-28.757553423382216	6249.486110949354	-28.823703515020775	6759.434908824179	-28.896279008742923	7259.556406302323	-28.936980417969245	7752.821747940547	-29.014821536675637	8251.095420142767	-29.031222608198544	8762.201215194538	-29.098740397394742	9266.405410354084	-29.131674184069837	9758.19622894132	-29.149134495433636	10263.121445458055	-28.234846538530856	4442.247987847948	-28.610917986043773	5536.148092775338	-28.368665925904462	4726.112380694397	-28.739196065539744	6197.686507530391	-28.920344893599314	7523.852129426542	-28.835476196017456	6783.502010948252	-28.85165391664477	6832.973429309854
30		-28.166273424279527	4257.7433205540165	-28.411418666391832	4755.646409923665	-28.53798095838064	5255.022260503111	-28.69318188352651	5748.635732582142	-28.784106340810553	6249.486110949354	-28.846927496737198	6759.434908824179	-28.921733896723126	7259.556406302323	-28.948304181683294	7752.821747940547	-29.022847102623977	8251.095420142767	-29.0601948839846	8762.201215194538	-29.13182319591412	9266.405410354084	-29.182716407095764	9758.19622894132	-29.170619250709166	10263.121445458055	-28.20493283154027	4442.247987847948	-28.61237148141764	5536.148092775338	-28.34575320425246	4726.112380694397	-28.764844603236106	6197.686507530391	-28.937222846629428	7523.852129426542	-28.854142262657803	6783.502010948252	-28.87830501714347	6832.973429309854
31	F4V	-28.1514452578322	4257.7433205540165	-28.417789171784904	4755.646409923665	-28.535082028531598	5255.022260503111	-28.693948021985506	5748.635732582142	-28.796776809099136	6249.486110949354	-28.894034782376803	6759.434908824179	-28.93892498931144	7259.556406302323	-29.006763807398567	7752.821747940547	-29.055728468889136	8251.095420142767	-29.101088228221734	8762.201215194538	-29.128283337789874	9266.405410354084	-29.17971608901359	9758.19622894132	-29.18871997575858	10263.121445458055	-28.203244889147268	4442.247987847948	-28.613336712339994	5536.148092775338	-28.343862074434206	4726.112380694397	-28.77311027099303	6197.686507530391	-28.977978289873512	7523.852129426542	-28.942037825847635	6783.502010948252	-28.96258630841443	6832.973429309854
32		-28.062031923786353	4257.7433205540165	-28.36411104032372	4755.646409923665	-28.519929512510206	5255.022260503111	-28.71081083896595	5748.635732582142	-28.834239367821258	6249.486110949354	-28.9145016503147	6759.434908824179	-28.990460985021578	7259.556406302323	-29.052925502351666	7752.821747940547	-29.10992762041635	8251.095420142767	-29.16353373014898	8762.201215194538	-29.270305480548732	9266.405410354084	-29.298507102574046	9758.19622894132	-29.31728444068191	10263.121445458055	-28.124089028176932	4442.247987847948	-28.614768053283694	5536.148092775338	-28.286535467178005	4726.112380694397	-28.806397423687628	6197.686507530391	-29.019881160847397	7523.852129426542	-28.935889648640433	6783.502010948252	-28.95586716675183	6832.973429309854
33	F6V	-28.04614294186425	4257.7433205540165	-28.36816971429235	4755.646409923665	-28.522621317633966	5255.022260503111	-28.705400313228317	5748.635732582142	-28.8357728948897	6249.486110949354	-28.96461467795544	6759.434908824179	-29.02551127668456	7259.556406302323	-29.111397332263746	7752.821747940547	-29.177481339937795	8251.095420142767	-29.206115784256397	8762.201215194538	-29.235336502989455	9266.405410354084	-29.29997018258023	9758.19622894132	-29.335156050625454	10263.121445458055	-28.115465864035393	4442.247987847948	-28.614803567656434	5536.148092775338	-28.28532818564691	4726.112380694397	-28.81037351696577	6197.686507530391	-29.07344588636151	7523.852129426542	-29.013056084419354	6783.502010948252	-29.03888917015844	6832.973429309854
34		-28.007776658264913	4257.7433205540165	-28.34987141731125	4755.646409923665	-28.52375861483653	5255.022260503111	-28.699272820924516	5748.635732582142	-28.841175250830883	6249.486110949354	-28.943109267281155	6759.434908824179	-29.041984655782045	7259.556406302323	-29.09175548636898	7752.821747940547	-29.197366301484347	8251.095420142767	-29.23200825055109	8762.201215194538	-29.3432620107647	9266.405410354084	-29.34959275619933	9758.19622894132	-29.388224383337764	10263.121445458055	-28.08408741718775	4442.247987847948	-28.61442571813882	5536.148092775338	-28.266046886712466	4726.112380694397	-28.813256527424794	6197.686507530391	-29.068138518646105	7523.852129426542	-28.962746822884352	6783.502010948252	-28.96326686325679	6832.973429309854
35	F8V	-27.941154939413263	4257.7433205540165	-28.30591452995899	4755.646409923665	-28.509189620909602	5255.022260503111	-28.7196828878781	5748.635732582142	-28.891757865810213	6249.486110949354	-29.020365076692876	6759.434908824179	-29.10195463293016	7259.556406302323	-29.17935602282347	7752.821747940547	-29.276743013215707	8251.095420142767	-29.349561452444405	8762.201215194538	-29.384722853713615	9266.405410354084	-29.479224362027708	9758.19622894132	-29.569601519984815	10263.121445458055	-28.02582468119807	4442.247987847948	-28.61668366488955	5536.148092775338	-28.223014052351225	4726.112380694397	-28.858229414695117	6197.686507530391	-29.146446071064098	7523.852129426542	-29.038025103587888	6783.502010948252	-29.07884189831616	6832.973429309854
36	G0V	-27.909147871393007	4257.7433205540165	-28.30923947201567	4755.646409923665	-28.50537174186141	5255.022260503111	-28.722814774427196	5748.635732582142	-28.890884773678525	6249.486110949354	-29.03856249432724	6759.434908824179	-29.12038174976822	7259.556406302323	-29.175205884506262	7752.821747940547	-29.299070531522243	8251.095420142767	-29.32635672041267	8762.201215194538	-29.404078108806807	9266.405410354084	-29.46317611166127	9758.19622894132	-29.486394922072673	10263.121445458055	-28.013327430918324	4442.247987847948	-28.617528013580035	5536.148092775338	-28.213244107954374	4726.112380694397	-28.859745153586836	6197.686507530391	-29.157730023781735	7523.852129426542	-29.068250824792937	6783.502010948252	-29.09541019915348	6832.973429309854
37	F9V	-27.920034462906727	4257.7433205540165	-28.26709263706082	4755.646409923665	-28.499200070065413	5255.022260503111	-28.733952893234843	5748.635732582142	-28.900289570859073	6249.486110949354	-29.02461990905634	6759.434908824179	-29.141953210546117	7259.556406302323	-29.2354571312276	7752.821747940547	-29.351665915763242	8251.095420142767	-29.404207781657625	8762.201215194538	-29.45332285909253	9266.405410354084	-29.511865146775527	9758.19622894132	-29.545366150836156	10263.121445458055	-28.007638262543498	4442.247987847948	-28.618036960999568	5536.148092775338	-28.19797498498704	4726.112380694397	-28.874741627066165	6197.686507530391	-29.186323063726867	7523.852129426542	-29.025660644534874	6783.502010948252	-29.044793023808786	6832.973429309854
38	F8V	-27.898934248397858	4257.7433205540165	-28.303104869221084	4755.646409923665	-28.5024429940715	5255.022260503111	-28.72235134630718	5748.635732582142	-28.894363022656915	6249.486110949354	-29.046076401163692	6759.434908824179	-29.146644078622863	7259.556406302323	-29.26133755664562	7752.821747940547	-29.344038155598	8251.095420142767	-29.424888022790597	8762.201215194538	-29.45611973970307	9266.405410354084	-29.474174407385867	9758.19622894132	-29.51344881814981	10263.121445458055	-28.007649525423453	4442.247987847948	-28.616979394171377	5536.148092775338	-28.20908585252569	4726.112380694397	-28.86747024051612	6197.686507530391	-29.203508106765494	7523.852129426542	-29.060006606951816	6783.502010948252	-29.093787924031744	6832.973429309854
